0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:09 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:12 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:12 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:12 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:13 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:13 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:13 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:15 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:22 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:22 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:22 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:25 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:25:25 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:10 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:10 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:10 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:11 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:11 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:11 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:12 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:12 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:12 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:15 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:15 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:18 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
