0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/n2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/n7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/n6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/o8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2022:16:51:20 +0700] "GET /JavaNangCaoNhom4/image_sach/t2.jpg HTTP/1.1" 304 -
